insertId,jsonPayload.code,jsonPayload.message,labels.activity_type_name,"labels.""agent.googleapis.com/health/agentKind""","labels.""agent.googleapis.com/health/agentVersion""","labels.""agent.googleapis.com/health/schemaVersion""","labels.""compute.googleapis.com/resource_name""",labels.policy_id,labels.resource_name,labels.started_at,labels.terse_message,labels.verbose_message,labels.violation_id,logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,severity,timestamp
egxcqpg1wmbf74,,2025-01-02T09:29:23.602335+00:00 lamp-1-vm kernel: [  382.412206] process 'subagents/fluent-bit/bin/fluent-bit' started with executable stack,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831058460Z
egxcqpg1wmbf73,,2025-01-02T09:29:23.402620+00:00 lamp-1-vm systemd[1]: Started google-cloud-ops-agent-opentelemetry-collector.service - Google Cloud Ops Agent - Metrics Agent.,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831057853Z
egxcqpg1wmbf72,,2025-01-02T09:29:23.402459+00:00 lamp-1-vm systemd[1]: Started google-cloud-ops-agent-fluent-bit.service - Google Cloud Ops Agent - Logging Agent.,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831057079Z
egxcqpg1wmbf71,,2025-01-02T09:29:23.375673+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:         processors: [metrics_filter],,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831056492Z
egxcqpg1wmbf70,,2025-01-02T09:29:23.375619+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:         receivers: [hostmetrics],,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831055923Z
egxcqpg1wmbf6z,,2025-01-02T09:29:23.375570+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:       default_pipeline:,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831055362Z
egxcqpg1wmbf6y,,2025-01-02T09:29:23.375517+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:     pipelines:,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831054794Z
egxcqpg1wmbf6x,,2025-01-02T09:29:23.375465+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:   service:,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831054230Z
egxcqpg1wmbf6w,,2025-01-02T09:29:23.375411+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:       metrics_pattern: [],,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831053638Z
egxcqpg1wmbf6v,,2025-01-02T09:29:23.375361+00:00 lamp-1-vm google_cloud_ops_agent_engine[3831]:       type: exclude_metrics,,,,,lamp-1-vm,,,,,,,projects/qwiklabs-gcp-00-7bccf8bdf104/logs/syslog,,2025-01-02T09:29:25.353125518Z,8137812763781882892,qwiklabs-gcp-00-7bccf8bdf104,us-east1-c,gce_instance,,2025-01-02T09:29:24.831053083Z
